Question Number,Test Code,Subject,Correct Ans
32,203,Physics,2
33,203,Physics,2
34,203,Physics,2
35,203,Physics,2
36,203,Physics,2
37,203,Physics,3
38,203,Physics,1
39,203,Physics,2
40,203,Physics,4
41,203,Physics,3
42,203,Physics,2
43,203,Physics,2
44,203,Physics,1
45,203,Physics,1
46,203,Physics,1
47,203,Physics,2
48,203,Physics,1
49,203,Physics,2
50,203,Physics,4
51,203,Physics,1
52,203,Physics,3
53,203,Physics,3
54,203,Physics,1
55,203,Physics,4
56,203,Physics,3
57,203,Physics,4
58,203,Physics,4
59,203,Physics,4
60,203,Physics,1
61,203,Botony,2
62,203,Botony,2
63,203,Botony,1
64,203,Botony,4
65,203,Botony,3
66,203,Botony,3
67,203,Botony,1
68,203,Botony,4
69,203,Botony,2
70,203,Botony,4
71,203,Botony,1
72,203,Botony,3
73,203,Botony,2
74,203,Botony,1
75,203,Botony,3
76,203,Botony,3
77,203,Botony,1
78,203,Botony,1
79,203,Botony,3
80,203,Botony,3
81,203,Botony,2
82,203,Botony,1
83,203,Botony,4
84,203,Botony,1
85,203,Botony,3
86,203,Botony,3
87,203,Botony,4
88,203,Botony,2
89,203,Botony,4
90,203,Botony,1
91,203,Zology,1
92,203,Zology,2
93,203,Zology,3
94,203,Zology,3
95,203,Zology,3
96,203,Zology,2
97,203,Zology,3
98,203,Zology,4
99,203,Zology,4
100,203,Zology,1
101,203,Zology,3
102,203,Zology,1
103,203,Zology,2
104,203,Zology,2
105,203,Zology,1
106,203,Zology,1
107,203,Zology,2
108,203,Zology,1
109,203,Zology,4
110,203,Zology,2
111,203,Zology,3
112,203,Zology,2
113,203,Zology,3
114,203,Zology,3
115,203,Zology,1
116,203,Zology,2
117,203,Zology,3
118,203,Zology,4
119,203,Zology,3
120,203,Zology,2
121,203,NA,0
122,203,NA,0
123,203,NA,0
124,203,NA,0
125,203,NA,0
126,203,NA,0
127,203,NA,0
128,203,NA,0
129,203,NA,0
130,203,NA,0
131,203,NA,0
132,203,NA,0
133,203,NA,0
134,203,NA,0
135,203,NA,0
136,203,NA,0
137,203,NA,0
138,203,NA,0
139,203,NA,0
140,203,NA,0
141,203,NA,0
142,203,NA,0
143,203,NA,0
144,203,NA,0
145,203,NA,0
146,203,NA,0
147,203,NA,0
148,203,NA,0
149,203,NA,0
150,203,NA,0
151,203,NA,0
152,203,NA,0
153,203,NA,0
154,203,NA,0
155,203,NA,0
156,203,NA,0
157,203,NA,0
158,203,NA,0
159,203,NA,0
160,203,NA,0
161,203,NA,0
162,203,NA,0
163,203,NA,0
164,203,NA,0
165,203,NA,0
166,203,NA,0
167,203,NA,0
168,203,NA,0
169,203,NA,0
170,203,NA,0
171,203,NA,0
172,203,NA,0
173,203,NA,0
174,203,NA,0
175,203,NA,0
176,203,NA,0
177,203,NA,0
178,203,NA,0
179,203,NA,0
180,203,NA,0
1,204,Chemistry,4
2,204,Chemistry,2
3,204,Chemistry,2
4,204,Chemistry,1
5,204,Chemistry,3
6,204,Chemistry,1
7,204,Chemistry,3
8,204,Chemistry,1
9,204,Chemistry,1
10,204,Chemistry,3
11,204,Chemistry,2
12,204,Chemistry,4
13,204,Chemistry,1
14,204,Chemistry,4
15,204,Chemistry,3
16,204,Chemistry,3
17,204,Chemistry,1
18,204,Chemistry,4
19,204,Chemistry,2
20,204,Chemistry,4
21,204,Chemistry,3
22,204,Chemistry,1
23,204,Chemistry,3
24,204,Chemistry,3
25,204,Chemistry,2
26,204,Chemistry,3
27,204,Chemistry,4
28,204,Chemistry,1
29,204,Chemistry,2
30,204,Chemistry,1
31,204,Physics,4
32,204,Physics,1
33,204,Physics,2
34,204,Physics,1
35,204,Physics,1
36,204,Physics,4
37,204,Physics,2
38,204,Physics,2
39,204,Physics,2
40,204,Physics,4
41,204,Physics,2
42,204,Physics,2
43,204,Physics,1
44,204,Physics,4
45,204,Physics,2
46,204,Physics,3
47,204,Physics,1
48,204,Physics,3
49,204,Physics,4
50,204,Physics,2
51,204,Physics,3
52,204,Physics,1
53,204,Physics,2
54,204,Physics,2
55,204,Physics,2
56,204,Physics,1
57,204,Physics,1
58,204,Physics,3
59,204,Physics,3
60,204,Physics,2
61,204,Botony,1
62,204,Botony,3
63,204,Botony,1
64,204,Botony,1
65,204,Botony,2
66,204,Botony,1
67,204,Botony,1
68,204,Botony,2
69,204,Botony,3
70,204,Botony,2
71,204,Botony,2
72,204,Botony,1
73,204,Botony,4
74,204,Botony,3
75,204,Botony,2
76,204,Botony,1
77,204,Botony,2
78,204,Botony,3
79,204,Botony,3
80,204,Botony,4
81,204,Botony,4
82,204,Botony,4
83,204,Botony,2
84,204,Botony,3
85,204,Botony,2
86,204,Botony,3
87,204,Botony,3
88,204,Botony,3
89,204,Botony,3
90,204,Botony,2
91,204,Zology,2
92,204,Zology,1
93,204,Zology,1
94,204,Zology,3
95,204,Zology,1
96,204,Zology,2
97,204,Zology,1
98,204,Zology,2
99,204,Zology,2
100,204,Zology,3
101,204,Zology,3
102,204,Zology,1
103,204,Zology,4
104,204,Zology,4
105,204,Zology,1
106,204,Zology,4
107,204,Zology,3
108,204,Zology,2
109,204,Zology,4
110,204,Zology,3
111,204,Zology,4
112,204,Zology,2
113,204,Zology,4
114,204,Zology,1
115,204,Zology,1
116,204,Zology,2
117,204,Zology,1
118,204,Zology,2
119,204,Zology,2
120,204,Zology,2
121,204,NA,0
122,204,NA,0
123,204,NA,0
124,204,NA,0
125,204,NA,0
126,204,NA,0
127,204,NA,0
128,204,NA,0
129,204,NA,0
130,204,NA,0
131,204,NA,0
132,204,NA,0
133,204,NA,0
134,204,NA,0
135,204,NA,0
136,204,NA,0
137,204,NA,0
138,204,NA,0
139,204,NA,0
140,204,NA,0
141,204,NA,0
142,204,NA,0
143,204,NA,0
144,204,NA,0
145,204,NA,0
146,204,NA,0
147,204,NA,0
148,204,NA,0
149,204,NA,0
150,204,NA,0
151,204,NA,0
152,204,NA,0
153,204,NA,0
154,204,NA,0
155,204,NA,0
156,204,NA,0
157,204,NA,0
158,204,NA,0
159,204,NA,0
160,204,NA,0
161,204,NA,0
162,204,NA,0
163,204,NA,0
164,204,NA,0
165,204,NA,0
166,204,NA,0
167,204,NA,0
168,204,NA,0
169,204,NA,0
170,204,NA,0
171,204,NA,0
172,204,NA,0
173,204,NA,0
174,204,NA,0
175,204,NA,0
176,204,NA,0
177,204,NA,0
178,204,NA,0
179,204,NA,0
180,204,NA,0
